사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
99210,2013060,1111016900,11110001  ,서울특별시 종로구1,서울특별시 종로구 혜화동(혜화초교 부근),2,2,0,1,1,0,126.9996071,37.58841291,"{""type"":""Polygon"",""coordinates"":[[[127.002009,37.5903242],[127.0016037,37.5905996],[127.0011492,37.5908213],[127.0006568,37.5909836],[127.0001385,37.5910826],[126.9996071,37.5911159],[126.9990757,37.5910826],[126.9985574,37.5909836],[126.998065,37.5908213],[126.9976105,37.5905996],[126.9972052,37.5903242],[126.9968591,37.5900017],[126.9965806,37.58964],[126.9963766,37.5892481],[126.9962522,37.5888357],[126.9962104,37.5884129],[126.9962522,37.58799],[126.9963767,37.5875776],[126.9965807,37.5871857],[126.9968592,37.5868241],[126.9972053,37.5865016],[126.9976106,37.5862261],[126.9980651,37.5860045],[126.9985575,37.5858422],[126.9990758,37.5857432],[126.9996071,37.5857099],[127.0001384,37.5857432],[127.0006567,37.5858422],[127.0011491,37.5860045],[127.0016036,37.5862261],[127.0020089,37.5865016],[127.002355,37.5868241],[127.0026335,37.5871857],[127.0028375,37.5875776],[127.002962,37.58799],[127.0030038,37.5884129],[127.002962,37.5888357],[127.0028376,37.5892481],[127.0026336,37.58964],[127.0023551,37.5900017],[127.002009,37.5903242]]]}"
99846,2013060,1129013500,11290001  ,서울특별시 성북구1,서울특별시 성북구 종암동(숭례초교 부근),2,2,0,0,1,1,127.0357332,37.59550472,"{""type"":""Polygon"",""coordinates"":[[[127.0381354,37.597416],[127.03773,37.5976915],[127.0372755,37.5979131],[127.036783,37.5980754],[127.0362647,37.5981744],[127.0357332,37.5982077],[127.0352018,37.5981744],[127.0346835,37.5980754],[127.034191,37.5979131],[127.0337365,37.5976915],[127.0333311,37.597416],[127.0329849,37.5970935],[127.0327064,37.5967318],[127.0325024,37.5963399],[127.032378,37.5959275],[127.0323362,37.5955047],[127.0323781,37.5950818],[127.0325025,37.5946694],[127.0327065,37.5942776],[127.0329851,37.5939159],[127.0333312,37.5935934],[127.0337366,37.5933179],[127.0341911,37.5930963],[127.0346835,37.592934],[127.0352018,37.592835],[127.0357332,37.5928017],[127.0362646,37.592835],[127.0367829,37.592934],[127.0372754,37.5930963],[127.0377299,37.5933179],[127.0381352,37.5935934],[127.0384814,37.5939159],[127.03876,37.5942776],[127.038964,37.5946694],[127.0390884,37.5950818],[127.0391303,37.5955047],[127.0390885,37.5959275],[127.038964,37.5963399],[127.0387601,37.5967318],[127.0384815,37.5970935],[127.0381354,37.597416]]]}"
98904,2013060,1129011000,11290002  ,서울특별시 성북구2,서울특별시 성북구 동소문동7가(정덕초교 부근),2,2,0,2,0,0,127.0145636,37.59757144,"{""type"":""Polygon"",""coordinates"":[[[127.0169658,37.5994827],[127.0165604,37.5997582],[127.0161059,37.5999798],[127.0156134,37.6001421],[127.015095,37.6002411],[127.0145636,37.6002744],[127.0140321,37.6002411],[127.0135138,37.6001421],[127.0130213,37.5999798],[127.0125667,37.5997582],[127.0121614,37.5994827],[127.0118152,37.5991602],[127.0115367,37.5987985],[127.0113327,37.5984067],[127.0112083,37.5979942],[127.0111665,37.5975714],[127.0112083,37.5971485],[127.0113328,37.5967361],[127.0115368,37.5963443],[127.0118153,37.5959826],[127.0121615,37.5956601],[127.0125669,37.5953847],[127.0130214,37.5951631],[127.0135138,37.5950007],[127.0140322,37.5949017],[127.0145636,37.5948685],[127.015095,37.5949017],[127.0156133,37.5950007],[127.0161058,37.5951631],[127.0165603,37.5953847],[127.0169656,37.5956601],[127.0173118,37.5959826],[127.0175904,37.5963443],[127.0177944,37.5967361],[127.0179188,37.5971485],[127.0179607,37.5975714],[127.0179189,37.5979942],[127.0177945,37.5984067],[127.0175905,37.5987985],[127.017312,37.5991602],[127.0169658,37.5994827]]]}"
99206,2013060,1129013900,11290003  ,서울특별시 성북구3,서울특별시 성북구 석관동(석관초교 부근),3,3,0,2,1,0,127.0595956,37.61042892,"{""type"":""Polygon"",""coordinates"":[[[127.0619982,37.6123402],[127.0615928,37.6126156],[127.0611382,37.6128373],[127.0606456,37.6129996],[127.0601272,37.6130986],[127.0595956,37.6131319],[127.0590641,37.6130986],[127.0585456,37.6129996],[127.058053,37.6128373],[127.0575984,37.6126156],[127.057193,37.6123402],[127.0568468,37.6120177],[127.0565682,37.611656],[127.0563642,37.6112641],[127.0562397,37.6108517],[127.0561979,37.6104289],[127.0562398,37.610006],[127.0563643,37.6095936],[127.0565683,37.6092018],[127.0568469,37.6088401],[127.0571931,37.6085176],[127.0575986,37.6082422],[127.0580531,37.6080205],[127.0585457,37.6078582],[127.0590641,37.6077592],[127.0595956,37.607726],[127.0601271,37.6077592],[127.0606455,37.6078582],[127.0611381,37.6080205],[127.0615927,37.6082422],[127.0619981,37.6085176],[127.0623444,37.6088401],[127.0626229,37.6092018],[127.062827,37.6095936],[127.0629515,37.610006],[127.0629933,37.6104289],[127.0629515,37.6108517],[127.0628271,37.6112641],[127.062623,37.611656],[127.0623445,37.6120177],[127.0619982,37.6123402]]]}"
99209,2013060,1132010500,11320001  ,서울특별시 도봉구1,서울특별시 도봉구 쌍문동(쌍문초교 부근),2,2,0,0,2,0,127.0244298,37.64812892,"{""type"":""Polygon"",""coordinates"":[[[127.0268336,37.6500402],[127.0264279,37.6503156],[127.0259731,37.6505373],[127.0254803,37.6506996],[127.0249616,37.6507986],[127.0244298,37.6508319],[127.023898,37.6507986],[127.0233792,37.6506996],[127.0228864,37.6505373],[127.0224316,37.6503156],[127.0220259,37.6500402],[127.0216795,37.6497176],[127.0214008,37.649356],[127.0211967,37.6489641],[127.0210722,37.6485517],[127.0210303,37.6481289],[127.0210722,37.647706],[127.0211968,37.6472936],[127.0214009,37.6469018],[127.0216796,37.6465401],[127.0220261,37.6462176],[127.0224317,37.6459422],[127.0228865,37.6457206],[127.0233793,37.6455583],[127.023898,37.6454592],[127.0244298,37.645426],[127.0249615,37.6454592],[127.0254802,37.6455583],[127.025973,37.6457206],[127.0264278,37.6459422],[127.0268334,37.6462176],[127.0271799,37.6465401],[127.0274586,37.6469018],[127.0276628,37.6472936],[127.0277873,37.647706],[127.0278292,37.6481289],[127.0277873,37.6485517],[127.0276628,37.6489641],[127.0274587,37.649356],[127.02718,37.6497176],[127.0268336,37.6500402]]]}"
99847,2013060,1135010500,11350001  ,서울특별시 노원구1,서울특별시 노원구 상계동(동일초교 부근),2,2,1,1,0,0,127.056828,37.66443684,"{""type"":""Polygon"",""coordinates"":[[[127.0592324,37.6663481],[127.0588266,37.6666235],[127.0583717,37.6668452],[127.0578788,37.6670075],[127.0573599,37.6671065],[127.056828,37.6671398],[127.0562961,37.6671065],[127.0557773,37.6670075],[127.0552843,37.6668452],[127.0548294,37.6666235],[127.0544237,37.6663481],[127.0540772,37.6660256],[127.0537984,37.6656639],[127.0535942,37.665272],[127.0534697,37.6648596],[127.0534279,37.6644368],[127.0534697,37.664014],[127.0535943,37.6636015],[127.0537985,37.6632097],[127.0540773,37.6628481],[127.0544238,37.6625255],[127.0548295,37.6622501],[127.0552844,37.6620285],[127.0557774,37.6618662],[127.0562961,37.6617672],[127.056828,37.6617339],[127.0573599,37.6617672],[127.0578787,37.6618662],[127.0583716,37.6620285],[127.0588265,37.6622501],[127.0592322,37.6625255],[127.0595788,37.6628481],[127.0598575,37.6632097],[127.0600617,37.6636015],[127.0601863,37.664014],[127.0602282,37.6644368],[127.0601863,37.6648596],[127.0600618,37.665272],[127.0598576,37.6656639],[127.0595789,37.6660256],[127.0592324,37.6663481]]]}"
99211,2013060,1153010700,11530001  ,서울특별시 구로구1,서울특별시 구로구 개봉동(개봉초교 부근),2,3,0,1,0,2,126.8569301,37.48993952,"{""type"":""Polygon"",""coordinates"":[[[126.8593288,37.4918508],[126.8589241,37.4921263],[126.8584702,37.4923479],[126.8579784,37.4925102],[126.8574608,37.4926093],[126.8569301,37.4926425],[126.8563994,37.4926093],[126.8558818,37.4925102],[126.85539,37.4923479],[126.8549361,37.4921263],[126.8545314,37.4918508],[126.8541857,37.4915283],[126.8539076,37.4911666],[126.8537039,37.4907748],[126.8535796,37.4903623],[126.8535379,37.4899395],[126.8535797,37.4895166],[126.8537039,37.4891042],[126.8539077,37.4887123],[126.8541858,37.4883507],[126.8545315,37.4880282],[126.8549363,37.4877527],[126.8553901,37.4875311],[126.8558819,37.4873688],[126.8563995,37.4872698],[126.8569301,37.4872365],[126.8574607,37.4872698],[126.8579783,37.4873688],[126.8584701,37.4875311],[126.858924,37.4877527],[126.8593287,37.4880282],[126.8596744,37.4883507],[126.8599526,37.4887123],[126.8601563,37.4891042],[126.8602806,37.4895166],[126.8603223,37.4899395],[126.8602806,37.4903623],[126.8601563,37.4907748],[126.8599527,37.4911666],[126.8596745,37.4915283],[126.8593288,37.4918508]]]}"
99213,2013060,1153010700,11530002  ,서울특별시 구로구2,서울특별시 구로구 개봉동(매봉초교 부근),2,2,0,1,1,0,126.8458306,37.50392059,"{""type"":""Polygon"",""coordinates"":[[[126.8482298,37.5058319],[126.847825,37.5061074],[126.847371,37.506329],[126.8468791,37.5064913],[126.8463614,37.5065903],[126.8458306,37.5066236],[126.8452999,37.5065903],[126.8447822,37.5064913],[126.8442903,37.506329],[126.8438363,37.5061074],[126.8434315,37.5058319],[126.8430857,37.5055094],[126.8428075,37.5051477],[126.8426038,37.5047558],[126.8424795,37.5043434],[126.8424378,37.5039205],[126.8424796,37.5034977],[126.8426039,37.5030853],[126.8428076,37.5026934],[126.8430858,37.5023318],[126.8434316,37.5020092],[126.8438364,37.5017338],[126.8442904,37.5015122],[126.8447822,37.5013499],[126.8452999,37.5012509],[126.8458306,37.5012176],[126.8463614,37.5012509],[126.8468791,37.5013499],[126.8473709,37.5015122],[126.8478249,37.5017338],[126.8482297,37.5020092],[126.8485755,37.5023318],[126.8488537,37.5026934],[126.8490574,37.5030853],[126.8491817,37.5034977],[126.8492235,37.5039205],[126.8491818,37.5043434],[126.8490575,37.5047558],[126.8488538,37.5051477],[126.8485756,37.5055094],[126.8482298,37.5058319]]]}"
99214,2013060,1171011100,11710001  ,서울특별시 송파구1,서울특별시 송파구 방이동(방산초교 부근),2,2,0,0,2,0,127.122101,37.50979654,"{""type"":""Polygon"",""coordinates"":[[[127.1245004,37.5117078],[127.1240955,37.5119833],[127.1236415,37.5122049],[127.1231496,37.5123673],[127.1226319,37.5124663],[127.122101,37.5124996],[127.1215702,37.5124663],[127.1210525,37.5123673],[127.1205605,37.5122049],[127.1201065,37.5119833],[127.1197017,37.5117078],[127.1193559,37.5113853],[127.1190777,37.5110236],[127.1188739,37.5106318],[127.1187497,37.5102193],[127.1187079,37.5097965],[127.1187497,37.5093736],[127.118874,37.5089612],[127.1190778,37.5085694],[127.119356,37.5082077],[127.1197018,37.5078852],[127.1201067,37.5076097],[127.1205606,37.5073881],[127.1210525,37.5072258],[127.1215702,37.5071268],[127.122101,37.5070935],[127.1226318,37.5071268],[127.1231495,37.5072258],[127.1236414,37.5073881],[127.1240954,37.5076097],[127.1245003,37.5078852],[127.1248461,37.5082077],[127.1251243,37.5085694],[127.1253281,37.5089612],[127.1254524,37.5093736],[127.1254942,37.5097965],[127.1254524,37.5102193],[127.1253281,37.5106318],[127.1251244,37.5110236],[127.1248462,37.5113853],[127.1245004,37.5117078]]]}"
99216,2013060,2629010700,26290001  ,부산광역시 남구1,부산광역시 남구 용호동(용호초교 부근),2,2,0,1,1,0,129.1096602,35.1225485,"{""type"":""Polygon"",""coordinates"":[[[129.1119875,35.1244606],[129.1115948,35.1247361],[129.1111544,35.1249579],[129.1106773,35.1251202],[129.1101751,35.1252193],[129.1096602,35.1252526],[129.1091453,35.1252193],[129.1086432,35.1251202],[129.108166,35.1249579],[129.1077256,35.1247361],[129.1073329,35.1244606],[129.1069975,35.1241379],[129.1067277,35.1237761],[129.1065301,35.1233841],[129.1064095,35.1229715],[129.106369,35.1225485],[129.1064095,35.1221254],[129.1065301,35.1217129],[129.1067278,35.1213208],[129.1069976,35.120959],[129.107333,35.1206364],[129.1077257,35.1203608],[129.1081661,35.1201391],[129.1086432,35.1199768],[129.1091454,35.1198777],[129.1096602,35.1198444],[129.1101751,35.1198777],[129.1106772,35.1199768],[129.1111544,35.1201391],[129.1115947,35.1203608],[129.1119874,35.1206364],[129.1123228,35.120959],[129.1125927,35.1213208],[129.1127903,35.1217129],[129.1129109,35.1221254],[129.1129514,35.1225485],[129.1129109,35.1229715],[129.1127904,35.1233841],[129.1125928,35.1237761],[129.1123229,35.1241379],[129.1119875,35.1244606]]]}"
