,법정동코드,지점코드,연도,행정구역,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,위도,경도,다발지역폴리곤
85,1117012900,11170001,2016,용산구,"서울특별시 용산구 이촌동(이촌1동 주민선터, 용산청소년수 부근)",3,4,0,0,2,2,37.52142421,126.97301029999998,"{""type"":""Polygon"",""coordinates"":[[[126.97480695,37.52142421],[126.97477243,37.52114621],[126.97467019,37.5208789],[126.97450417,37.52063254],[126.97428073,37.5204166],[126.97400848,37.52023939],[126.97369786,37.52010771],[126.97336083,37.52002662],[126.97301032,37.51999924],[126.97265982,37.52002662],[126.97232278,37.52010771],[126.97201217,37.52023939],[126.97173991,37.5204166],[126.97151648,37.52063254],[126.97135045,37.5208789],[126.97124821,37.52114621],[126.97121369,37.52142421],[126.97124821,37.5217022],[126.97135045,37.52196951],[126.97151648,37.52221586],[126.97173991,37.52243179],[126.97201217,37.522609],[126.97232278,37.52274068],[126.97265982,37.52282177],[126.97301032,37.52284915],[126.97336083,37.52282177],[126.97369786,37.52274068],[126.97400848,37.522609],[126.97428073,37.52243179],[126.97450417,37.52221586],[126.97467019,37.52196951],[126.97477243,37.5217022],[126.97480695,37.52142421]]]}"
86,1123010600,11230001,2016,동대문구,서울특별시 동대문구 장안동(승용빌딩 부근),3,3,0,1,1,1,37.566493799999996,127.06812140000001,"{""type"":""Polygon"",""coordinates"":[[[127.06991802,37.5664938],[127.06988349,37.56621597],[127.06978126,37.56594882],[127.06961523,37.56570261],[127.0693918,37.5654868],[127.06911954,37.5653097],[127.06880893,37.5651781],[127.06847189,37.56509705],[127.06812139,37.56506969],[127.06777088,37.56509705],[127.06743385,37.5651781],[127.06712323,37.5653097],[127.06685098,37.5654868],[127.06662754,37.56570261],[127.06646152,37.56594882],[127.06635928,37.56621597],[127.06632476,37.5664938],[127.06635928,37.56677162],[127.06646152,37.56703877],[127.06662754,37.56728498],[127.06685098,37.56750078],[127.06712323,37.56767788],[127.06743385,37.56780948],[127.06777088,37.56789051],[127.06812139,37.56791788],[127.06847189,37.56789051],[127.06880893,37.56780948],[127.06911954,37.56767788],[127.0693918,37.56750078],[127.06961523,37.56728498],[127.06978126,37.56703877],[127.06988349,37.56677162],[127.06991802,37.5664938]]]}"
87,1126010200,11260001,2016,중랑구,서울특별시 중랑구 상봉동(중화초교 부근),3,3,0,0,3,0,37.60241742,127.0949332,"{""type"":""Polygon"",""coordinates"":[[[127.09672986,37.60241742],[127.09669534,37.60213972],[127.0965931,37.6018727],[127.09642707,37.60162661],[127.09620364,37.60141091],[127.09593138,37.60123389],[127.09562077,37.60110235],[127.09528373,37.60102135],[127.09493323,37.600994],[127.09458272,37.60102135],[127.09424569,37.60110235],[127.09393507,37.60123389],[127.09366282,37.60141091],[127.09343938,37.60162661],[127.09327336,37.6018727],[127.09317112,37.60213972],[127.0931366,37.60241742],[127.09317112,37.60269511],[127.09327336,37.60296213],[127.09343938,37.60320821],[127.09366282,37.60342391],[127.09393507,37.60360092],[127.09424569,37.60373246],[127.09458272,37.60381346],[127.09493323,37.60384081],[127.09528373,37.60381346],[127.09562077,37.60373246],[127.09593138,37.60360092],[127.09620364,37.60342391],[127.09642707,37.60320821],[127.0965931,37.60296213],[127.09669534,37.60269511],[127.09672986,37.60241742]]]}"
88,1126010400,11260002,2016,중랑구,서울특별시 중랑구 묵동(묵2동사무소 부근),3,3,0,0,3,0,37.60944832,127.0745578,"{""type"":""Polygon"",""coordinates"":[[[127.07635443,37.60944832],[127.07631991,37.60917065],[127.07621767,37.60890365],[127.07605165,37.60865758],[127.07582821,37.6084419],[127.07555596,37.6082649],[127.07524534,37.60813337],[127.07490831,37.60805238],[127.0745578,37.60802503],[127.0742073,37.60805238],[127.07387026,37.60813337],[127.07355965,37.6082649],[127.07328739,37.6084419],[127.07306396,37.60865758],[127.07289793,37.60890365],[127.0727957,37.60917065],[127.07276117,37.60944832],[127.0727957,37.60972598],[127.07289793,37.60999298],[127.07306396,37.61023904],[127.07328739,37.61045471],[127.07355965,37.61063171],[127.07387026,37.61076324],[127.0742073,37.61084423],[127.0745578,37.61087157],[127.07490831,37.61084423],[127.07524534,37.61076324],[127.07555596,37.61063171],[127.07582821,37.61045471],[127.07605165,37.61023904],[127.07621767,37.60999298],[127.07631991,37.60972598],[127.07635443,37.60944832]]]}"
89,1129013600,11290001,2016,성북구,서울특별시 성북구 하월곡동(하월곡생명중앙교회 부근),3,4,0,0,4,0,37.60785103,127.03637549999999,"{""type"":""Polygon"",""coordinates"":[[[127.03817216,37.60785103],[127.03813764,37.60757336],[127.0380354,37.60730636],[127.03786937,37.60706028],[127.03764594,37.6068446],[127.03737368,37.60666759],[127.03706307,37.60653606],[127.03672603,37.60645507],[127.03637553,37.60642772],[127.03602502,37.60645507],[127.03568799,37.60653606],[127.03537737,37.60666759],[127.03510512,37.6068446],[127.03488168,37.60706028],[127.03471566,37.60730636],[127.03461342,37.60757336],[127.0345789,37.60785103],[127.03461342,37.6081287],[127.03471566,37.6083957],[127.03488168,37.60864177],[127.03510512,37.60885745],[127.03537737,37.60903445],[127.03568799,37.60916598],[127.03602502,37.60924697],[127.03637553,37.60927432],[127.03672603,37.60924697],[127.03706307,37.60916598],[127.03737368,37.60903445],[127.03764594,37.60885745],[127.03786937,37.60864177],[127.0380354,37.6083957],[127.03813764,37.6081287],[127.03817216,37.60785103]]]}"
90,1132010600,11320001,2016,도봉구,서울특별시 도봉구 방학동(신동아아파트(방학동)11동 부근),4,4,0,1,2,1,37.66116125,127.0276047,"{""type"":""Polygon"",""coordinates"":[[[127.02940134,37.66116125],[127.02936682,37.66088378],[127.02926458,37.66061696],[127.02909856,37.66037107],[127.02887512,37.66015554],[127.02860287,37.65997866],[127.02829225,37.65984722],[127.02795522,37.65976628],[127.02760471,37.65973895],[127.02725421,37.65976628],[127.02691717,37.65984722],[127.02660656,37.65997866],[127.0263343,37.66015554],[127.02611087,37.66037107],[127.02594484,37.66061696],[127.0258426,37.66088378],[127.02580808,37.66116125],[127.0258426,37.66143872],[127.02594484,37.66170553],[127.02611087,37.66195142],[127.0263343,37.66216695],[127.02660656,37.66234382],[127.02691717,37.66247525],[127.02725421,37.66255619],[127.02760471,37.66258352],[127.02795522,37.66255619],[127.02829225,37.66247525],[127.02860287,37.66234382],[127.02887512,37.66216695],[127.02909856,37.66195142],[127.02926458,37.66170553],[127.02936682,37.66143872],[127.02940134,37.66116125]]]}"
91,1138010700,11380001,2016,은평구,서울특별시 은평구 응암동(파리바게뜨 부근),3,3,0,1,2,0,37.58802407,126.91756090000001,"{""type"":""Polygon"",""coordinates"":[[[126.91935756,37.58802407],[126.91932304,37.58774632],[126.9192208,37.58747924],[126.91905478,37.58723311],[126.91883134,37.58701736],[126.91855909,37.58684031],[126.91824847,37.58670874],[126.91791144,37.58662773],[126.91756093,37.58660037],[126.91721043,37.58662773],[126.91687339,37.58670874],[126.91656278,37.58684031],[126.91629052,37.58701736],[126.91606709,37.58723311],[126.91590106,37.58747924],[126.91579882,37.58774632],[126.9157643,37.58802407],[126.91579882,37.58830181],[126.91590106,37.58856888],[126.91606709,37.58881502],[126.91629052,37.58903075],[126.91656278,37.5892078],[126.91687339,37.58933936],[126.91721043,37.58942038],[126.91756093,37.58944773],[126.91791144,37.58942038],[126.91824847,37.58933936],[126.91855909,37.5892078],[126.91883134,37.58903075],[126.91905478,37.58881502],[126.9192208,37.58856888],[126.91932304,37.58830181],[126.91935756,37.58802407]]]}"
92,1138011000,11380002,2016,은평구,서울특별시 은평구 증산동(증산시장 부근),3,3,0,0,2,1,37.58186183,126.9049925,"{""type"":""Polygon"",""coordinates"":[[[126.90678912,37.58186183],[126.9067546,37.58158406],[126.90665236,37.58131696],[126.90648633,37.58107081],[126.9062629,37.58085505],[126.90599065,37.58067798],[126.90568003,37.5805464],[126.905343,37.58046538],[126.90499249,37.58043802],[126.90464199,37.58046538],[126.90430495,37.5805464],[126.90399434,37.58067798],[126.90372208,37.58085505],[126.90349865,37.58107081],[126.90333262,37.58131696],[126.90323038,37.58158406],[126.90319586,37.58186183],[126.90323038,37.5821396],[126.90333262,37.58240669],[126.90349865,37.58265285],[126.90372208,37.5828686],[126.90399434,37.58304567],[126.90430495,37.58317724],[126.90464199,37.58325826],[126.90499249,37.58328562],[126.905343,37.58325826],[126.90568003,37.58317724],[126.90599065,37.58304567],[126.9062629,37.5828686],[126.90648633,37.58265285],[126.90665236,37.58240669],[126.9067546,37.5821396],[126.90678912,37.58186183]]]}"
93,1141011800,11410001,2016,서대문구,서울특별시 서대문구 홍은동(우방빌라 부근),3,5,0,3,2,0,37.58097663,126.92595790000001,"{""type"":""Polygon"",""coordinates"":[[[126.92775452,37.58097663],[126.92772,37.58069886],[126.92761776,37.58043176],[126.92745173,37.5801856],[126.9272283,37.57996984],[126.92695604,37.57979277],[126.92664543,37.57966119],[126.9263084,37.57958016],[126.92595789,37.5795528],[126.92560739,37.57958016],[126.92527035,37.57966119],[126.92495974,37.57979277],[126.92468748,37.57996984],[126.92446405,37.5801856],[126.92429802,37.58043176],[126.92419578,37.58069886],[126.92416126,37.58097663],[126.92419578,37.58125441],[126.92429802,37.5815215],[126.92446405,37.58176766],[126.92468748,37.58198342],[126.92495974,37.58216048],[126.92527035,37.58229206],[126.92560739,37.58237308],[126.92595789,37.58240044],[126.9263084,37.58237308],[126.92664543,37.58229206],[126.92695604,37.58216048],[126.9272283,37.58198342],[126.92745173,37.58176766],[126.92761776,37.5815215],[126.92772,37.58125441],[126.92775452,37.58097663]]]}"
94,1150010600,11500001,2016,강서구,서울특별시 강서구 내발산동(수명파크3단지 부근),3,3,0,2,1,0,37.55361587,126.82609790000001,"{""type"":""Polygon"",""coordinates"":[[[126.82789449,37.55361587],[126.82785997,37.55333799],[126.82775773,37.55307079],[126.8275917,37.55282454],[126.82736827,37.5526087],[126.82709601,37.55243156],[126.8267854,37.55229994],[126.82644836,37.55221888],[126.82609786,37.55219151],[126.82574735,37.55221888],[126.82541032,37.55229994],[126.8250997,37.55243156],[126.82482745,37.5526087],[126.82460401,37.55282454],[126.82443799,37.55307079],[126.82433575,37.55333799],[126.82430123,37.55361587],[126.82433575,37.55389374],[126.82443799,37.55416093],[126.82460401,37.55440718],[126.82482745,37.55462302],[126.8250997,37.55480015],[126.82541032,37.55493177],[126.82574735,37.55501282],[126.82609786,37.55504019],[126.82644836,37.55501282],[126.8267854,37.55493177],[126.82709601,37.55480015],[126.82736827,37.55462302],[126.8275917,37.55440718],[126.82775773,37.55416093],[126.82785997,37.55389374],[126.82789449,37.55361587]]]}"
